window,trial,session,subject,con,group,cohort,rater
CS4,11,E14,e,0,NORET,summer15,SL
CS4,12,E14,e,4,NORET,summer15,SL
CS3,1,E14,f,0,NORET,summer15,SL
CS3,2,E14,f,0,NORET,summer15,SL
CS3,3,E14,f,0,NORET,summer15,SL
CS3,4,E14,f,0,NORET,summer15,SL
CS3,5,E14,f,0,NORET,summer15,SL
CS3,6,E14,f,0,NORET,summer15,SL
CS3,7,E14,f,0,NORET,summer15,SL
CS3,8,E14,f,0,NORET,summer15,SL
CS3,9,E14,f,0,NORET,summer15,SL
CS3,10,E14,f,0,NORET,summer15,SL
CS3,11,E14,f,0,NORET,summer15,SL
CS3,12,E14,f,0,NORET,summer15,SL
CS4,1,E14,f,0,NORET,summer15,SL
CS4,2,E14,f,0,NORET,summer15,SL
