window,trial,session,subject,app,cohort,group,rater
CS2,8,12,b,0,summer15,RET,SL
preCS,1,1,c,0,summer15,NORET,SL
preCS,2,1,c,0,summer15,NORET,SL
preCS,3,1,c,0,summer15,NORET,SL
preCS,4,1,c,0,summer15,NORET,SL
preCS,5,1,c,0,summer15,NORET,SL
preCS,6,1,c,0,summer15,NORET,SL
preCS,7,1,c,0,summer15,NORET,SL
preCS,8,1,c,0,summer15,NORET,SL
CS1,1,1,c,0,summer15,NORET,SL
CS1,2,1,c,0,summer15,NORET,SL
CS1,3,1,c,0,summer15,NORET,SL
CS1,4,1,c,0,summer15,NORET,SL
CS1,5,1,c,0,summer15,NORET,SL
CS1,6,1,c,0,summer15,NORET,SL
CS1,7,1,c,1,summer15,NORET,SL
CS1,8,1,c,0,summer15,NORET,SL
CS2,1,1,c,1,summer15,NORET,SL
CS2,2,1,c,0,summer15,NORET,SL
CS2,3,1,c,1,summer15,NORET,SL
CS2,4,1,c,0,summer15,NORET,SL
CS2,5,1,c,0,summer15,NORET,SL
CS2,6,1,c,0,summer15,NORET,SL
CS2,7,1,c,0,summer15,NORET,SL
CS2,8,1,c,0,summer15,NORET,SL
preCS,1,2,c,0,summer15,NORET,SL
preCS,2,2,c,0,summer15,NORET,SL
preCS,3,2,c,0,summer15,NORET,SL
preCS,4,2,c,0,summer15,NORET,SL
preCS,5,2,c,2,summer15,NORET,SL
preCS,6,2,c,0,summer15,NORET,SL
preCS,7,2,c,0,summer15,NORET,SL
preCS,8,2,c,0,summer15,NORET,SL
CS1,1,2,c,0,summer15,NORET,SL
CS1,2,2,c,0,summer15,NORET,SL
CS1,3,2,c,0,summer15,NORET,SL
CS1,4,2,c,0,summer15,NORET,SL
CS1,5,2,c,0,summer15,NORET,SL
CS1,6,2,c,0,summer15,NORET,SL
CS1,7,2,c,0,summer15,NORET,SL
CS1,8,2,c,0,summer15,NORET,SL
CS2,1,2,c,0,summer15,NORET,SL
CS2,2,2,c,0,summer15,NORET,SL
CS2,3,2,c,0,summer15,NORET,SL
CS2,4,2,c,0,summer15,NORET,SL
CS2,5,2,c,0,summer15,NORET,SL
CS2,6,2,c,0,summer15,NORET,SL
CS2,7,2,c,0,summer15,NORET,SL
CS2,8,2,c,0,summer15,NORET,SL
preCS,1,3,c,0,summer15,NORET,SL
preCS,2,3,c,0,summer15,NORET,SL
preCS,3,3,c,0,summer15,NORET,SL
